rarityID,commonName,species,wingspan,size,identiftingMarks,range,description,matingSeason
Uncommon,Emperor Goose,Anser canagicus,48 to 56 inches (122 to 142 cm). (verified),Average length of 26 to 30 inches (66 to 76 cm) and weigh about six pounds (approximately 2.7 to 3 kg). (verified),"Stocky, blue-gray goose with a white head and hindneck, black chin and throat, and bright orange feet. (verified)","Arctic and sub-arctic Alaska (primarily the Yukon-Kuskokwim Delta) and Russia, with wintering primarily on coastal beaches along ice-free areas of the Aleutian Islands and the Alaska Peninsula. (verified)","Early naturalists exploring western Alaska were intrigued to find a stocky, blue-gray species of coastal goose unique to that area and nearby Russia. As E. W. Nelson (Nelson 1887b) wrote, “Among the various species of birds more or less peculiar to Alaska this goose is perhaps the most noteworthy.”\n\nThe Emperor Goose nests in the extensive coastal salt marsh habitats of arctic and sub-arctic Alaska and Russia and winters primarily on coastal beaches along ice-free areas of the Aleutian Islands and the Alaska Peninsula. Locally known as the “Beach Goose” from its habit of roosting and feeding near the waters' edge, the diet of this species consists largely of clams, mussels, and algae when wintering and staging in marine and estuarine habitats. When nesting in terrestrial habitats, it eats mostly roots, bulbs, and shoots of vegetation.\n\nAlthough the breeding biology and habitat requirements of this goose have been examined in detail, mostly on the Yukon-Kuskokwim Delta (Y-K Delta) of Alaska, there have been no intensive studies of its wintering or staging biology. Recent studies of migration have confirmed pathways and timing between the Y-K Delta and staging areas on the Alaska Peninsula and wintering areas largely on the Aleutian Islands (Hupp et al. 2007). Observations of substantial molt migrations to the Chukotka Peninsula in eastern Russia (Hupp et al. 2007) suggest a possible change in distribution, or at least a clarification, and raise the possibility of harvest mortality on both continents.\n\nAlaska's Emperor Goose population declined precipitously from 139,000 in 1964 to 42,000 in 1986, although its numbers have recovered slightly since then (Fischer et al. 2008). The factors responsible for this quick decline and slow recovery remain poorly known. Hunting, especially subsistence hunting by Native Americans, is probably a factor (Hupp et al. 2008b); coastal oil pollution could also be reducing the survival of overwintering individuals (Byrd et al. 1995); and interspecific competition among brood rearing geese may limit recovery through recruitment (Schmutz and Laing 2002, Lake et al. 2008). (verified)","Breeding begins in late May and early June, generally between May 20 and June 3 in Alaska. (verified)"
Common,Snow Goose,Anser caerulescens,Wingspan typically ranges from 53 to 65 inches (1.35-1.65 meters). (verified),"Length is approximately 25-33 inches (64-84 cm), with weights generally ranging from 3.5 to 7.3 lbs (1.6-3.3 kg). (verified)",Dimorphic species: white morph (all white with black wingtips) and blue morph (gray body/wings with white head). Both have pink-orange bills with a dark 'grin patch'. Intermediates exist. (verified),Breeds in Arctic North America and northeastern Russia. Winters across North America from California and Oregon through the Gulf Coast to the mid-Atlantic coast and parts of northern Mexico. (verified),"The Snow Goose (Anser caerulescens) is a highly abundant, dimorphic waterfowl species, existing as a white morph and a dark (blue) morph. They are socially monogamous, highly gregarious outside the breeding season, and primarily forage on plant material such as rhizomes and waste grain. (verified)","Nesting typically occurs from late May to mid-July. Long-term pair bonds are often formed in the second winter, though breeding usually begins in the third year. (verified)"
Common,Ross's Goose,Anser rossii,The average wingspan of a Ross's Goose is approximately 44 to 46 inches (112 to 116 cm). (verified),The average length of a Ross's Goose is approximately 22 to 25 inches (56 to 64 cm). (verified),"The Ross's Goose is the smallest of the three white geese that breed in North America. It is characterized by its stocky body, short neck, and a short, stubby, triangular bill that is pinkish in color and often features bluish-gray caruncles (warty structures) at the base. Unlike the larger Snow Goose, it lacks the prominent black 'grin patch' (lips) on the bill. (verified)","Nests in the central Canadian Arctic (specifically the Queen Maud Gulf Migratory Bird Sanctuary), western and southern coasts of Hudson Bay, on Southampton and Baffin islands, and in the western Arctic. Winters in parts of the USA (Arkansas, Louisiana, New Mexico, Texas, and formerly the Central Valley of California) and north-central highlands of Mexico. (verified)","The Ross's Goose (Anser rossii) is a North American goose that was historically of conservation concern but has seen a population explosion from a low of 2,000–3,000 in the early 1950s to over 2 million birds in recent years. It is a grazing species that feeds on grasses, sedges, and small grains. It nests in colonies, often with the Snow Goose, on islands and mainland areas near shallow arctic lakes. (verified)","Ross's Geese are monogamous. Courtship and pair-bonding typically occur during spring migration (or late winter), with breeding in arctic colonies starting in early June. (verified)"
Common,Graylag Goose,Anser anser,147 to 180 cm (57.9 to 70.9 inches).,76 to 91 cm (29.9 to 35.8 inches) in length; weight 2.07 to 4.56 kg.,"Mottled and barred grayish-brown plumage, darker head and neck, paler breast and belly with variable black spotting, orange or pink bill, and pink legs. Adults often exhibit a distinctive 'concertina' pattern of folds in the feathers on their necks.","Widespread distribution across Europe and Asia, ranging from Iceland and northern/central Europe eastward to Russia and Northeast China, with wintering grounds extending south to North Africa and the Middle East.","The Graylag Goose (Anser anser) is a large, bulky goose in the waterfowl family Anatidae. It has mottled and barred grayish-brown plumage, a thick neck, large head, orange or pink bill, and pink legs. It is the type species of the genus Anser and the ancestor of most breeds of domestic goose. The previously provided description (which referred to the Magpie Goose) is contradicted.","Breeding season varies by location, generally starting in early spring (e.g., late April to early May in Scotland and Iceland). Courting and nesting behaviors are established during this time."
Common,Greater White-fronted Goose,Anser albifrons,The average Greater White-fronted Goose wingspan is 51 inches to 65 inches (130–165 cm) (verified),The average Greater White-fronted Goose is 25 inches to 32 inches (64–81 cm) long (verified),White arc that encircles the base of its upper mandible and conspicuous blotching on the adult's belly (verified),"Nearly circumpolar breeding distribution in dry tundra, wet tundra, and taiga; winters south to approximately the Tropic of Cancer in Asia and North America and to approximately 40°N in Europe and the Middle East (verified)","The Greater White-fronted Goose is named for the white arc that encircles the base of its upper mandible. It is a sexually monomorphic, cryptically colored, highly migratory, and territorial bird. It is gregarious and social except while nesting. They are long-lived and maintain permanent pair bonds. In North America, they are often called 'Specklebelly Goose' due to the blotching on the adult's belly, or 'Laughing Goose' because their calls can resemble laughter. With a world population over 5,000,000, their numbers have been increasing due to hunting restrictions and increased use of agricultural fields. (verified)","Greater White-fronted Geese initiate nesting in late May or early June, with the breeding season spanning from mid-May through August (verified)"
Rare,Lesser White-fronted Goose,Anser erythropus,"While specific wingspan data is not consistently provided, it is a small, compact goose with wings that project beyond the tail-tip. (unverified)",53-66 cm (20.8-26 inches) long. (verified),"Prominent yellow eye-ring, extensive white forehead blaze reaching the fore-crown, and small, stubby pink bill. (verified)","Breeds in low-arctic regions from Fennoscandia east across Siberia. Winters in parts of Europe, the Middle East, and Asia. (verified)","A small Eurasian gray goose characterized by its small, stubby pink bill, a distinct yellow eye-ring, and a white forehead patch that extends onto the crown. It is smaller and shorter-necked than the Greater White-fronted Goose (Anser albifrons). (verified)","Breeding occurs in low-arctic tundra, with nesting typically taking place during the summer months in northern Fennoscandia and across Russia. (verified)"
Common,Taiga Bean-Goose,Anser fabalis,The wingspan ranges from 140 to 175 cm (approximately 4.6 to 5.7 feet). (verified),The Taiga Bean-Goose has a length ranging from 68 to 90 cm (27 to 35 inches). (verified),"The Taiga Bean-Goose has a black bill with an orange band across the middle, and bright orange legs and feet. It is distinguished from the Tundra Bean-Goose by its longer, straighter culmen and a distinct, narrow, bulbous nail. (verified)","Nests in the boreal zone from central Scandinavia across Siberia to northern Mongolia, the Altai, and the Sea of Okhotsk. Non-breeding grounds are in western and central Europe and East Asia (China, Korea, and Japan). (verified)","The Taiga Bean-Goose (Anser fabalis) is a species of goose that nests in wet taiga with wooded swamps and bogs, from central Scandinavia across Siberia and parts of Central Asia. Recent taxonomic shifts have increasingly treated bean geese as distinct species: the Taiga Bean-Goose and the Tundra Bean-Goose (Anser serrirostris). The Taiga Bean-Goose is characterized by a long, straight culmen and a distinct, narrow, bulbous nail. Their breeding season commences approximately one month earlier than that of the Tundra Bean-Goose. (verified)","Breeding occurs annually, with pair formation often happening in the second winter of life. The breeding season of the Taiga Bean-Goose begins approximately one month earlier than that of the Tundra Bean-Goose. (verified)"
Common,Tundra Bean-Goose,Anser serrirostris,The wingspan typically ranges from 140 cm to 174 cm (55 to 69 inches). (verified),The Tundra Bean-Goose has a length ranging from approximately 68 cm to 90 cm (27 to 35 inches). (verified),"It is a large, dark gray-brown goose with bright orange legs and a bill that is black at the base and tip with a narrow subterminal orange or yellow band. Compared to the Taiga Bean-Goose, it typically has a shorter, deeper, and more wedge-shaped bill. (verified)","Breeds in Arctic tundra regions from northern Norway, Svalbard, and across Siberia to the Bering Sea and Kamchatka. Winters in western and central Europe and East Asia (including China, Korea, and Japan). (verified)","The Tundra Bean-Goose (Anser serrirostris) is a migratory bird that breeds in the Arctic tundra regions of northern Eurasia, from northern Norway and Svalbard across Siberia to the Bering Sea. It was previously considered conspecific with the Taiga Bean-Goose (Anser fabalis). Tundra Bean-Goose comprises two main subspecies, the western rossicus and the eastern nominate serrirostris. They are monogamous and nest on the tundra, often in hummocky areas near wetlands. During the non-breeding season, they migrate to western and central Europe and East Asia (China, Korea, and Japan), where they often mix with other geese species. (verified)","The Tundra Bean-Goose arrives at its Arctic breeding grounds at the end of May, with nesting taking place in June and July. (verified)"
Common,Pink-footed Goose,Anser brachyrhynchus,135–170 cm. (verified),60–76 cm long. (verified),"A medium-sized goose with mid-grey-brown plumage, a richer/darker brown head and neck, and a short bill that is bright pink in the middle with a black base and tip. It has pink feet and legs, a white rump and vent, and a grey tail with a broad white tip. (verified)","Breeds in eastern Greenland, Iceland, Svalbard, and Novaya Zemlya; winters in northwest Europe, particularly Great Britain, Ireland, the Netherlands, and western Denmark. (verified)","This account summarizes the life history of the Pink-footed Goose, including information relating to its identification, systematics, distribution, habitat, diet, vocalizations, breeding ecology, and conservation status. (Information Sourced with AI)","Breeding occurs in May, with eggs laid in late spring. (verified)"
Common,Brant,Branta bernicla,Wingspan ranges from approximately 41 to 48 inches (105 to 122 cm). (verified),Length ranges from approximately 21 to 26 inches (53 to 66 cm). (verified),"Small, compact goose with a short, stubby bill. Features a black head, neck, and chest, with a small, often incomplete, white necklace (patch on sides of neck). Back is brownish, and underparts vary by subspecies from pale to dark gray/black. White tail coverts are distinctive. (verified)","Circumpolar breeding in high-Arctic regions (North America, Siberia, Russia). Wintering range includes temperate sea coasts, specifically along the Pacific coast of North America (Alaska to Mexico), Atlantic coast of North America (Massachusetts to North Carolina), and coastal western Europe (British Isles to the Mediterranean). (verified)","The Brant (also known as the Brent Goose in Europe) is a small, compact, dark goose that breeds on high-Arctic tundra and winters along temperate-zone sea coasts. It is characterized by its extensive use of coastal habitats and typically feeds on marine plants like eelgrass. Three to four subspecies are recognized, distinguished primarily by plumage, such as the white necklace size and belly coloration. (verified)","Nesting typically begins in late May or June in the high Arctic. Females lay eggs in June and July, with incubation lasting 22 to 26 days. (verified)"
Common,Barnacle Goose,Branta leucopsis,The average wingspan is 47 inches to 57 inches (120–145 cm). (verified),The average length is 22 inches to 28 inches (55–71 cm). (verified),"Vividly attired small goose garbed in black, white, and silvery blue gray, with a white face peering out from a jet black hood. (Information Sourced with AI) (verified)","Breeding populations in Greenland, Svalbard, Norway, and Russia's Barents Sea. In winter, they are found from Ireland to Estonia in marshes, pastures, and agricultural fields. (Information Sourced with AI) (verified)","The Barnacle Goose was not named after its gustatory preferences but instead after a peculiar medieval belief that these geese hatched from goose barnacles (Lepas anserifera) in the autumn; the barnacles themselves being a fruit that fell from a tree into the sea. This led to rather serpentine debates as to whether the geese could be consumed during Lent or whether they were Kosher under Jewish law. Though the elaborate medieval rumors proved untrue, the Barnacle Goose and its history are no less marvelous. This vividly attired small goose is garbed in black, white, and silvery blue gray, with a cute white face peering out from a jet black hood. During the late 1950s, the Barnacle Goose was in danger, with its world population totaling only 20,000 or so birds spread between three breeding populations. The low numbers were due to a crushing burden of human activities, including hunting, collecting eggs for food, and testing nuclear weapons. Fortunately, the Barnacle Goose has had an astonishing recovery. During the winter, this mass of geese graze in marshes, pastures, and agricultural fields from Ireland to Estonia. The Barnacle Goose belongs to the genus Branta, which diverged from the genus Anser 4.2 to 15.1 million years ago. It is closely related to the Cackling Goose, the Canada Goose, and the Hawaiian Goose. Despite having populations with rather discrete breeding and wintering grounds, the Barnacle Goose has not developed subspecies or notable geographic variation. (Information Sourced with AI)","The Barnacle Goose breeds during the Arctic summer, typically arriving at nesting sites in late May or early June, with eggs laid from mid-April (in southern colonies like the Baltic) to June, and hatching occurring from mid-May through mid-July. (verified)"
Common,Cackling Goose,Branta hutchinsii,Average wingspan is approximately 42.5–43.7 inches (108–111 cm). (verified),Average length is 24.8–25.6 inches (63–65 cm). (verified),"Compact, small-bodied goose with a short neck, rounded crown, and short legs. The bill is short and meets the forehead at a steep angle. Plumage typically includes a brown body, black head and neck, and a bright white cheek patch. Some subspecies feature a white neck collar. (verified)","Breeds in the arctic tundra from the Aleutian Islands and coastal Alaska eastward to Baffin Island and western Greenland. Wintering grounds are extensive across North America, including parts of the West Coast (Washington, Oregon, California), the Southwest, the southern Great Plains, and the Gulf Coast. (verified)","The Cackling Goose is a compact, small-bodied goose that was formerly considered a subspecies of the Canada Goose until recognized as a distinct species in 2004. It comprises several subspecies (notably minima, leucopareia, hutchinsii, and taverneri) which vary in size and plumage. They breed in the arctic tundra and exhibit complex migratory patterns. They are monogamous and highly gregarious, often found in flocks with Canada Geese, from which they are distinguished by their smaller size, shorter bill, and steeper forehead angle. (verified)","Breeding begins in mid-May in the high-latitude arctic tundra, with arrival at breeding grounds typically occurring late May to mid-June. Cackling Geese are monogamous and pair-bond during spring migration. (verified)"
Common,Canada Goose,Branta canadensis,Wingspan ranges from 4.2 feet to 5.6 feet (127 cm to 170 cm). (verified),Length ranges from 29.9 inches to 43.3 inches (76 cm to 110 cm). (verified),"Large waterbird with a long black neck and head, a distinct white chinstrap, and a brownish-grey body. (verified)","Widely distributed throughout North America, breeding from eastern Labrador to western Alaska and south into the United States and Mexico, with many populations now resident year-round. (verified)","The Canada Goose is the most widely distributed goose in North America. It occupies a broad range of habitats including tundra, boreal forest, prairies, parklands, mountain meadows, and urban areas. They are monogamous and breed in areas ranging from eastern Labrador to western Alaska. In recent decades, their range has expanded into the southern and southwestern United States, with some populations becoming year-round residents. They feed primarily on grasses, sedges, berries, and agricultural crops. (verified)","Breeding typically occurs from March to June depending on the latitude. They are generally monogamous, often mating for life, and do not usually breed until they are at least three years old. (verified)"
Rare,Hawaiian Goose (Nēnē),Branta sandvicensis,The wingspan is approximately 105–120 cm (approximately 41–47 inches). (verified),Adults are typically 56–69 cm (approximately 22–27 inches) in total length. (verified),"Adults have a black face and crown, a cream-colored cheek patch, and a distinctively furrowed, buffy-colored neck with black streaking. They have a short, stubby black bill, and black legs and feet. Key terrestrial adaptations include a more upright posture, longer legs, and reduced webbing between the toes. (verified)","Endemic to the Hawaiian Islands. Populations are currently found on the islands of Hawai‘i, Maui, Kaua‘i, and Moloka‘i, with rare reports of sightings on O‘ahu. Distribution is largely determined by locations of reintroduction and release sites. (verified)","The Hawaiian Goose, or Nēnē, is a highly terrestrial, herbivorous waterfowl endemic to the Hawaiian Archipelago. It is adapted to life on rugged volcanic terrain with limited freshwater, featuring an upright posture, longer, stronger legs, and reduced webbing between its toes compared to other geese. Though once widely distributed, its range was severely restricted due to habitat loss and predation, and the species was brought back from the brink of extinction in the 1950s through intensive captive breeding and conservation efforts. It is the state bird of Hawai‘i. (verified)","Nēnē have an extended breeding season, with nesting occurring in all months except May, June, and July; the majority of birds nest between October and March, with most clutches laid in December. (verified)"
Common,Mute Swan,Cygnus olor,"Typically 200 to 240 cm (79 to 94 inches, or approximately 6.5 to 7.8 feet). (verified)","Adults typically measure 140 to 160 cm (55 to 63 inches) in length, with weights ranging from approximately 9.7 kg for females to 11.9 kg for males. It is one of the heaviest flying birds. (verified)","Snowy-white plumage, black legs and feet, and a prominent orange bill with a black base and black nail. Adults, particularly males, possess a distinct black knob at the base of the upper bill. (verified)","Native populations occur across most of Europe between 43°N and 63°N and into Central Asia near the Black and Caspian Seas, with scattered populations in Mongolia and China. Introduced populations are established in North America, Japan, New Zealand, and Australia. (verified)","The Mute Swan is a large, highly territorial waterfowl species native to Eurasia, known for its snowy-white plumage and distinctive knobby, black-and-orange bill. Historically a status symbol in the Middle Ages, it is often associated with romantic symbolism in Europe. Despite its name, the species is not silent. It has been introduced to North America, where it can cause ecological concerns due to overgrazing of aquatic vegetation and displacement of native waterfowl. (verified)","Breeding typically begins in early spring (March or April), with nests built in vegetated aquatic habitats. (verified)"
Uncommon,Trumpeter Swan,Cygnus buccinator,6 ft 2 in to 10 ft 2 in (185 to 304.8 cm). (verified),Length: 4 ft 6 in to 5 ft 5 in (138 to 165 cm). (verified),"Large size, all-white plumage, black bill (often with a thin red line on the lower mandible), and a trumpet-like call. (verified)","Breeds in wetlands in Alaska, Canada, and the northwestern United States; winters on ice-free coastal and inland waters in the central and western United States. (verified)","The Trumpeter Swan is the largest native North American waterfowl. It is a long-lived, social species with all-white plumage and a trumpet-like call. Once abundant, their numbers were significantly reduced during the 17th-19th centuries due to the fur trade, but conservation efforts have seen their populations increase significantly in recent decades. They are known for their graceful movements on water and require open water and food-rich environments. (verified)",Nesting typically begins in spring (March to May) as soon as the thaw permits. Courtship and pair bonding occur throughout the year but intensify before the breeding season. (verified)
